player_id,player_name,position,team,model_score,position_rank,recommendation
2306,"Jameis Winston",QB,NYG,54.1,38,SIT
6768,"Tua Tagovailoa",QB,ATL,52,39,SIT
827,"Tyrod Taylor",QB,GB,51.8,40,SIT
7527,"Mac Jones",QB,SF,51.7,41,SIT
19,"Joe Flacco",QB,CIN,51,42,SIT
260,"Josh Johnson",QB,CIN,46.3,43,SIT
11559,"Michael Penix",QB,ATL,46.2,44,SIT
11557,"Joe Milton",QB,DAL,44.4,45,SIT
7083,"Tyler Huntley",QB,BAL,43.8,46,SIT
8161,"Malik Willis",QB,MIA,43.7,47,SIT
12486,"Dillon Gabriel",QB,CLE,42.7,48,SIT
12500,"Quinn Ewers",QB,JAX,42.7,49,SIT
8002,"Shane Buechele",QB,BUF,39.2,50,SIT
4017,"Deshaun Watson",QB,CLE,38.7,51,SIT
10866,"Aidan O'Connell",QB,LV,37.6,52,SIT
7610,"Trey Lance",QB,LAC,37.1,53,SIT
12470,"Riley Leonard",QB,IND,35.5,54,SIT
12775,"Max Brosmer",QB,MIN,33.9,55,SIT
13269,"Fernando Mendoza",QB,LV,33.7,56,SIT
3976,"Mitchell Trubisky",QB,TEN,33.4,57,SIT
4972,"Mason Rudolph",QB,PIT,31.6,58,SIT
829,"Andy Dalton",QB,PHI,30.8,59,SIT
4574,"Cooper Rush",QB,ATL,30.5,60,SIT
9230,"Tanner McKee",QB,PHI,29.6,61,SIT
8160,"Kenny Pickett",QB,CAR,27.6,62,SIT
5127,"Kyle Allen",QB,BUF,22.6,63,SIT
4464,"Nick Mullens",QB,JAX,22.4,64,SIT
11648,"Kedon Slovis",QB,GB,21.7,65,SIT
9229,"Anthony Richardson",QB,IND,21.5,66,SIT
4179,"Joshua Dobbs",QB,DET,21,67,SIT
6011,"Gardner Minshew",QB,ARI,20.6,68,SIT
5854,"Drew Lock",QB,SEA,20.3,69,SIT
6136,"Jarrett Stidham",QB,DEN,18.1,70,SIT
7538,"Zach Wilson",QB,NO,17.2,71,SIT
12510,"Jalen Milroe",QB,SEA,16.3,72,SIT
11256,"Tyson Bagent",QB,CHI,13.5,73,SIT
9509,"Bijan Robinson",RB,ATL,76.3,1,START
4034,"Christian McCaffrey",RB,SF,72.6,2,START
9224,"Chase Brown",RB,CIN,65.6,3,START
3198,"Derrick Henry",RB,BAL,64.8,4,START
9226,"De'Von Achane",RB,MIA,62.8,5,START
4866,"Saquon Barkley",RB,PHI,61.4,6,START
9221,"Jahmyr Gibbs",RB,DET,60.8,7,START
6813,"Jonathan Taylor",RB,IND,60,8,START
12527,"Ashton Jeanty",RB,LV,59.8,9,START
8150,"Kyren Williams",RB,LAR,59.7,10,START
7543,"Travis Etienne",RB,NO,59.1,11,START
5850,"Josh Jacobs",RB,GB,59,12,START
7588,"Javonte Williams",RB,DAL,58.2,13,START
12507,"Omarion Hampton",RB,LAC,57.9,14,START
8138,"James Cook",RB,BUF,57.6,15,START
12512,"Quinshon Judkins",RB,CLE,56.6,16,START
12481,"Cam Skattebo",RB,NYG,55.8,17,START
11584,"Bucky Irving",RB,TB,54.7,18,START
6790,"D'Andre Swift",RB,CHI,54.5,19,START
9753,"Zach Charbonnet",RB,SEA,54.5,20,START
8228,"Jaylen Warren",RB,PIT,54.4,21,START
5967,"Tony Pollard",RB,TEN,53.9,22,START
7611,"Rhamondre Stevenson",RB,NE,53.2,23,START
8155,"Breece Hall",RB,NYJ,52.4,24,START
6806,"J.K. Dobbins",RB,DEN,50.6,25,FLEX
11655,"Tyrone Tracy",RB,NYG,50.6,26,FLEX
7567,"Kenny Gainwell",RB,TB,49.9,27,FLEX
12474,"Woody Marks",RB,HOU,49.3,28,FLEX
4199,"Aaron Jones",RB,MIN,49,29,FLEX
7021,"Rico Dowdle",RB,PIT,47.6,30,FLEX
12533,"Jacory Croskey-Merritt",RB,WAS,47.5,31,FLEX
8151,"Kenneth Walker",RB,KC,45.9,32,FLEX
12489,"RJ Harvey",RB,DEN,45.9,33,FLEX
4137,"James Conner",RB,ARI,45,34,FLEX
11588,"Jawhar Jordan",RB,HOU,44.3,35,FLEX
5892,"David Montgomery",RB,HOU,43.8,36,FLEX
10219,"Chris Rodriguez",RB,JAX,43.3,37,SIT
12529,"TreVeyon Henderson",RB,NE,42.1,38,SIT
11586,"Blake Corum",RB,LAR,41.6,39,SIT
11647,"Kimani Vidal",RB,LAC,41.3,40,SIT
4035,"Alvin Kamara",RB,NO,41,41,SIT
12534,"Kyle Monangai",RB,CHI,40.8,42,SIT
8408,"Jordan Mason",RB,MIN,40.2,43,SIT
7607,"Michael Carter",RB,TEN,39.7,44,SIT
